,OMNIS is resoning….,,,,,,,,,
,,,,,,,,,,
,From your prompt I understand that you want me to undertake the Scope 3 Portfolio Analysis (carbon foot printing) of the proposed investment uploaded in the spreadsheet. ,,,,,,,,,
,I will read the Excel file you have uploaded and then dynamically create the required workflow to perform this task. At a high level the work I will perform will follow the workflow outlined below at the high level. ,,,,,,,,,
,The full workflow breakdown can be inspected in the Directed Acyclic Graph (DAG) tab,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"As a comparison, I will contract my Scope 3 calculations for the new 18 investments against L&G's existing portfolio and external benchmarks",,,,,,,,,
,Existing L&G Portfolio will be taken from L&G 2024 Sustainability Report unless otherwise stated,,,,,,,,,
,,,,,,,,,,
,OMNIS is performing the analysis….,,,,,,,,,
,OMNIS has completed the analysis,,,,,,,,,
,,,,,,,,,,
,SUMMARY,,,,,,,,,
,,,,,,,,,,
,"Total estimated CO2 equivalent for the 18 investments is 180 tCO2E (compared to 4,900,000 tCO2e (2024 L&G Sustainability Report).",,,,,,,,,
,,,,,,,,,,
,Carbon Intensity (tCO2e/£m),Weighted Average Carbon Intensity (WACI),Portfolio Temperature Alignment (C),,,,,,,
,-7,-12,-0.3,,,,,,,
,(vs L&G existing portfolio),(vs L&G existing portfolio),(vs L&G existing portfolio),,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Carbon Intensity (tCO2e/£m),Weighted Average Carbon Intensity (WACI),Portfolio Temperature Alignment (C),,,,,,
,Investments Under Consideration ,42,105,2.5,,,,,,
,Existing L&G Portfolio,49,117,2.8,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"Conclusion: 18 additional investments are on whole more sustainable ('greener') than L&G's existing portfolio across all key metrics (Carbon Intensity (tCO2e/£m), Weighted Average Carbon Intensity (WACI),Portfolio Temperature Alignment ©)",,,,,,,,,
,,,,,,,,,,
,ASSET TYPE ANALYSIS ,,,,,,,,,
,,,,,,,,,,
,Carbon Intensity (tCO2e/£m) - Bond ,Carbon Intensity (tCO2e/£m) - Real Estate  ,Carbon Intensity (tCO2e/£m) - Real Estate  ,,,,,,,
,-3,-2,0,,,,,,,
,(vs L&G existing portfolio),(vs L&G existing portfolio),(vs L&G existing portfolio),,,,,,,
,-5,+1,-1,,,,,,,
,(vs external benchmark),(vs external benchmark),(vs external benchmark),,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Carbon Intensity (tCO2e/£m) - Bond ,Carbon Intensity (tCO2e/£m) - Real Estate  ,Carbon Intensity (tCO2e/£m) - Real Estate  ,,,,,,
,Investments Under Consideration , 52 , 7 , 1 ,,,,,,
,Existing L&G Portfolio, 55 , 9 , 1 ,,,,,,
,External Benchmark, 57 , 6 , 2 ,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Conclusion: 18 additional investments are less carbon intensive across all three asset classes than the existing L&G portfolio. Carbon intensity for proposed investment in real estate equity is still above the external benchmark.,,,,,,,,,
,,,,,,,,,,
,SECTOR ANALYSIS ,,,,,,,,,
,,,,,,,,,,
,Carbon Intensity (tCO2e/£m) - Investments Under Consideration Compared to Existing Portfolio,,,,,,,,,
,,,,,,,,,,
,Utilities ,Energy,Materials ,,,,,,,
,27,-4,-20,,,,,,,
,(vs L&G existing portfolio),(vs L&G existing portfolio),(vs L&G existing portfolio),,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Industrial ,Government ,Other ,,,,,,,
,No investment in this sector ,-1,No investment in this sector ,,,,,,,
,(vs L&G existing portfolio),(vs L&G existing portfolio),(vs L&G existing portfolio),,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Carbon Intensity (tCO2e/£m) - Investments Under Consideration  ,Carbon Intensity (tCO2e/£m) - Existing L&G Portfolio,,,,,,,
,Utilities ,185,158,,,,,,,
,Energy,188,192,,,,,,,
,Materials ,270,290,,,,,,,
,Industrial ,No Investments in this sector,50,,,,,,,
,Government ,82,83,,,,,,,
,Other ,No Investments in this sector,14,,,,,,,
,Total,42,49,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Conclusion: 18 additional investments are less carbon intensive than the existing portfolio apart from the proposed invetment in the utilities sector which are more carbon intensive.  investments in this secrot,,,,,,,,,
,Please consider alternative investment strategy,,,,,,,,,
,,,,,,,,,,
,DETAILED ANALYSIS,,,,,,,,,
,,,,,,,,,,
,Detailed analyis at individual investment level can be found below,,,,,,,,,
,,,,,,,,,,
,Investment Name ,Sector,Asset Class ,Carbon Intensity (tCO2e/£m),Weighted Average Carbon Intensity (WACI),Portfolio Temperature Alignment (C),,,,
,Bond 1,Energy,Bond ,188,105,2.6,,,,
,Bond 2,Utilities ,Bond ,185,121,2.8,,,,
,Bond 3,Utilities ,Bond ,185,124,2.9,,,,
,Bond 4,Energy,Bond ,188,104,2.5,,,,
,Bond 5,Energy,Bond ,188,105,2.3,,,,
,Bond 6,Energy,Bond ,188,106,2.6,,,,
,Bond 7,Materials ,Bond ,270,105,2.6,,,,
,Bond 8,Materials ,Bond ,270,109,2.5,,,,
,Bond 9,Materials ,Bond ,270,109,2.4,,,,
,Bond 10,Materials ,Bond ,270,111,2.4,,,,
,Bond 11,Government ,Bond ,82,99,2.2,,,,
,Bond 12,Government ,Bond ,82,98,2.5,,,,
,Bond 13,Government ,Bond ,82,105,2.2,,,,
,Bond 14,Government ,Bond ,82,104,2.5,,,,
,Real Estate Asset 1,Materials ,Real Estate Equity,270,106,2.1,,,,
,Real Estate Asset 2,Materials ,Real Estate Equity,270,110,2.4,,,,
,Real Estate Asset 3,Government ,Real Estate Equity,82,97,2.5,,,,
,Infrastructure 1,Energy,Infrastructure (Project Finance),188,112,2.4,,,,
,Infrastructure 2,Energy,Infrastructure (Project Finance),188,107,2.5,,,,
,Total,,,42,105,2.5,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
